clube_slug,alias,fonte
atletico-serrano,Serrano,MANUAL
atletico-serrano,Atlético Clube Serrano,MANUAL
guarani-portuario,Portuário,MANUAL
guarani-portuario,Guarani Portuário Futebol Clube,MANUAL
sociedade-ipanema,Ipanema,MANUAL
sociedade-ipanema,Sociedade Esportiva Ipanema,MANUAL
esporte-clube-varzea,Várzea,MANUAL
esporte-clube-varzea,Esporte Clube Várzea,MANUAL
nacional-do-cerrado,Cerrado,MANUAL
nacional-do-cerrado,Nacional do Cerrado,MANUAL
uniao-litoranea,Litorânea,MANUAL
uniao-litoranea,União Litorânea Futebol Clube,MANUAL
real-sertanejo,Sertanejo,MANUAL
real-sertanejo,Real Sertanejo Esporte Clube,MANUAL
avante-fluvial,Fluvial,MANUAL
avante-fluvial,Avante Fluvial Clube,MANUAL
