competicao_slug,temporada,clube_slug,posicao_final
brasileirao-serie-a,2025,flamengo,1
brasileirao-serie-a,2025,palmeiras,2
brasileirao-serie-a,2025,corinthians,3
brasileirao-serie-a,2025,sao-paulo,4
brasileirao-serie-a,2025,atletico-mineiro,5
brasileirao-serie-a,2025,fluminense,6
brasileirao-serie-a,2025,internacional,7
brasileirao-serie-a,2025,gremio,8
brasileirao-serie-a,2025,botafogo,9
brasileirao-serie-a,2025,cruzeiro,10
brasileirao-serie-a,2025,vasco-da-gama,11
brasileirao-serie-a,2025,santos,12
brasileirao-serie-a,2025,athletico-paranaense,13
brasileirao-serie-a,2025,bahia,14
brasileirao-serie-a,2025,fortaleza,15
brasileirao-serie-a,2025,sport,16
brasileirao-serie-a,2025,vitoria,17
brasileirao-serie-a,2025,coritiba,18
brasileirao-serie-a,2025,ceara,19
brasileirao-serie-a,2025,goias,20
brasileirao-serie-a,2026,flamengo,2
brasileirao-serie-a,2026,palmeiras,1
brasileirao-serie-a,2026,corinthians,4
brasileirao-serie-a,2026,sao-paulo,3
brasileirao-serie-a,2026,atletico-mineiro,6
brasileirao-serie-a,2026,fluminense,5
brasileirao-serie-a,2026,internacional,8
brasileirao-serie-a,2026,gremio,7
brasileirao-serie-a,2026,botafogo,10
brasileirao-serie-a,2026,cruzeiro,9
brasileirao-serie-a,2026,vasco-da-gama,12
brasileirao-serie-a,2026,santos,11
brasileirao-serie-a,2026,athletico-paranaense,14
brasileirao-serie-a,2026,bahia,13
brasileirao-serie-a,2026,fortaleza,16
brasileirao-serie-a,2026,sport,15
brasileirao-serie-a,2026,vitoria,18
brasileirao-serie-a,2026,coritiba,17
brasileirao-serie-a,2026,ceara,20
brasileirao-serie-a,2026,goias,19
copa-do-brasil,2026,flamengo,
copa-do-brasil,2026,palmeiras,
copa-do-brasil,2026,corinthians,
copa-do-brasil,2026,sao-paulo,
copa-do-brasil,2026,atletico-mineiro,
copa-do-brasil,2026,fluminense,
copa-do-brasil,2026,internacional,
copa-do-brasil,2026,gremio,
copa-do-brasil,2026,botafogo,
copa-do-brasil,2026,cruzeiro,
copa-do-brasil,2026,vasco-da-gama,
copa-do-brasil,2026,santos,
copa-do-brasil,2026,athletico-paranaense,
copa-do-brasil,2026,bahia,
copa-do-brasil,2026,fortaleza,
copa-do-brasil,2026,sport,
copa-do-brasil,2026,vitoria,
copa-do-brasil,2026,coritiba,
copa-do-brasil,2026,ceara,
copa-do-brasil,2026,goias,
