jogador_slug,temporada,ritmo,forca,folego,salto,agilidade,passe,drible,cruzamento,frieza,finalizacao,cabeceio,falta,penalti,desarme,marcacao,gol_reflexo,gol_posicionamento,gol_manejo,potencial_base,potencial_variacao,fonte_atributo,coletado_em
caio-cavalcanti-tavares,2025,58,85,66,80,78,70,68,64,71,62,66,63,66,51,65,91,88,90,87,7,IMPORTADO,2025-01-15T10:00:00Z
caio-cavalcanti-tavares,2026,56,83,64,78,76,68,66,62,69,60,64,61,64,49,63,89,86,88,87,7,IMPORTADO,2026-01-15T10:00:00Z
igor-medeiros-dantas,2025,56,67,64,69,70,71,48,61,75,40,54,69,73,46,49,90,94,88,94,3,IMPORTADO,2025-01-15T10:00:00Z
igor-medeiros-dantas,2026,58,69,66,71,72,73,50,63,77,42,56,71,75,48,51,92,94,90,94,3,IMPORTADO,2026-01-15T10:00:00Z
caio-fonseca-farias,2025,65,86,65,85,81,77,58,63,83,51,61,68,77,56,61,94,93,94,94,3,IMPORTADO,2025-01-15T10:00:00Z
caio-fonseca-farias,2026,67,88,67,87,83,79,60,65,85,53,63,70,79,58,63,94,94,94,94,3,IMPORTADO,2026-01-15T10:00:00Z
kleber-albuquerque-furtado,2025,71,75,80,86,73,78,55,57,74,56,87,68,71,83,78,35,41,32,70,6,IMPORTADO,2025-01-15T10:00:00Z
kleber-albuquerque-furtado,2026,69,73,78,84,71,76,53,55,72,54,85,66,69,81,76,33,39,30,70,6,IMPORTADO,2026-01-15T10:00:00Z
mateus-meireles-queiroz,2025,69,89,79,73,66,74,59,53,73,58,78,67,63,87,75,36,43,46,83,3,IMPORTADO,2025-01-15T10:00:00Z
mateus-meireles-queiroz,2026,71,91,81,75,68,76,61,55,75,60,80,69,65,89,77,38,45,48,83,3,IMPORTADO,2026-01-15T10:00:00Z
marcelo-furtado-farias,2025,77,82,77,86,74,84,67,61,78,58,94,74,67,84,81,51,39,52,76,8,IMPORTADO,2025-01-15T10:00:00Z
marcelo-furtado-farias,2026,77,82,77,86,74,84,67,61,78,58,94,74,67,84,81,51,39,52,76,8,IMPORTADO,2026-01-15T10:00:00Z
wallace-magalhaes-moraes,2025,77,83,77,83,75,76,62,68,87,57,94,76,70,92,94,36,51,42,81,2,IMPORTADO,2025-01-15T10:00:00Z
wallace-magalhaes-moraes,2026,77,83,77,83,75,76,62,68,87,57,94,76,70,92,94,36,51,42,81,2,IMPORTADO,2026-01-15T10:00:00Z
