jogador_slug,posicao,ordem
kleber-albuquerque-furtado,VOL,2
mateus-meireles-queiroz,VOL,2
marcelo-furtado-farias,VOL,2
wallace-magalhaes-moraes,VOL,2
nathan-andrade-pontes,PTA,2
patrick-andrade-furtado,PTA,2
thiago-rezende-farias,PTA,2
gabriel-meireles-macedo,PTA,2
nathan-moraes-farias,MEC,2
lucas-macedo-guimaraes,MEC,2
gustavo-moraes-lacerda,MEC,2
caio-furtado-freitas,MEA,2
henrique-peixoto-azevedo,MEA,2
samuel-braga-azevedo,PTA,2
henrique-azevedo-cavalcanti,PTA,2
danilo-moraes-siqueira,ATA,2
vinicius-correia-rabelo,ATA,2
anderson-siqueira-braga,PTA,2
marcelo-nogueira-medeiros,PTA,2
leandro-rabelo-siqueira,VOL,2
douglas-pontes-pacheco,VOL,2
alisson-guimaraes-nogueira,VOL,2
mateus-lacerda-freitas,VOL,2
eduardo-aragao-moraes,PTA,2
danilo-rezende-farias,PTA,2
alisson-rezende-fonseca,PTA,2
renan-macedo-pontes,PTA,2
italo-cavalcanti-fonseca,MEC,2
henrique-pontes-valadares,MEC,2
kleber-siqueira-cunha,MEC,2
thiago-azevedo-valadares,MEA,2
rafael-azevedo-queiroz,MEA,2
ricardo-lacerda-rezende,PTA,2
wesley-andrade-leite,PTA,2
gabriel-rabelo-andrade,ATA,2
otavio-vasconcelos-albuquerque,ATA,2
marcelo-queiroz-braga,PTA,2
ricardo-peixoto-leite,PTA,2
diego-nogueira-moraes,VOL,2
rodrigo-peixoto-bezerra,VOL,2
bruno-azevedo-duarte,VOL,2
danilo-farias-ramalho,VOL,2
rodrigo-dantas-fonseca,PTA,2
kleber-andrade-azevedo,PTA,2
ricardo-meireles-queiroz,PTA,2
rafael-queiroz-ramalho,PTA,2
rafael-medeiros-farias,MEC,2
wallace-pontes-ramalho,MEC,2
patrick-bezerra-moraes,MEC,2
gabriel-lacerda-macedo,MEA,2
samuel-nogueira-peixoto,MEA,2
vinicius-pontes-freitas,PTA,2
samuel-braga-cardoso,PTA,2
yuri-xavier-pontes,ATA,2
renan-cavalcanti-rezende,ATA,2
eduardo-fonseca-nogueira,PTA,2
yuri-lacerda-marinho,PTA,2
lucas-andrade-cavalcanti,VOL,2
renan-moraes-aragao,VOL,2
ricardo-marinho-vasconcelos,VOL,2
murilo-dantas-queiroz,VOL,2
lucas-peixoto-nogueira,PTA,2
mateus-vasconcelos-andrade,PTA,2
vinicius-duarte-esteves,PTA,2
fabricio-andrade-pacheco,PTA,2
mateus-pontes-valadares,MEC,2
mateus-pacheco-meireles,MEC,2
gabriel-magalhaes-albuquerque,MEC,2
wallace-rabelo-xavier,MEA,2
gustavo-macedo-aragao,MEA,2
caio-esteves-freitas,PTA,2
emerson-furtado-farias,PTA,2
leandro-lacerda-tavares,ATA,2
rafael-correia-lacerda,ATA,2
ricardo-duarte-albuquerque,PTA,2
marcelo-marinho-nogueira,PTA,2
rodrigo-furtado-cunha,VOL,2
italo-albuquerque-ramalho,VOL,2
anderson-lacerda-braga,VOL,2
danilo-medeiros-peixoto,VOL,2
bruno-valadares-siqueira,PTA,2
mateus-cunha-siqueira,PTA,2
thiago-sampaio-bezerra,PTA,2
wesley-vasconcelos-azevedo,PTA,2
nathan-xavier-furtado,MEC,2
renan-braga-rezende,MEC,2
nathan-xavier-nogueira,MEC,2
emerson-bezerra-vasconcelos,MEA,2
thiago-leite-correia,MEA,2
kleber-lacerda-leite,PTA,2
henrique-leite-medeiros,PTA,2
marcelo-duarte-aragao,ATA,2
bruno-fonseca-marinho,ATA,2
emerson-cardoso-aragao,PTA,2
nathan-freitas-lacerda,PTA,2
bruno-meireles-xavier,VOL,2
fabricio-esteves-dantas,VOL,2
thiago-xavier-macedo,VOL,2
gustavo-guimaraes-siqueira,VOL,2
italo-aragao-pontes,PTA,2
gabriel-braga-lacerda,PTA,2
bruno-farias-cardoso,PTA,2
bruno-magalhaes-albuquerque,PTA,2
henrique-marinho-andrade,MEC,2
emerson-vasconcelos-ramalho,MEC,2
adriano-tavares-azevedo,MEC,2
ricardo-albuquerque-pacheco,MEA,2
anderson-dantas-duarte,MEA,2
felipe-rabelo-marinho,PTA,2
murilo-esteves-meireles,PTA,2
italo-leite-marinho,ATA,2
rodrigo-duarte-nogueira,ATA,2
henrique-dantas-ramalho,PTA,2
thiago-pacheco-esteves,PTA,2
mateus-aragao-lacerda,VOL,2
otavio-queiroz-braga,VOL,2
wallace-marinho-siqueira,VOL,2
eduardo-esteves-dantas,VOL,2
eduardo-macedo-duarte,PTA,2
fabricio-ramalho-nogueira,PTA,2
yuri-ramalho-rabelo,PTA,2
marcelo-correia-fonseca,PTA,2
vinicius-valadares-duarte,MEC,2
adriano-pontes-siqueira,MEC,2
emerson-siqueira-ramalho,MEC,2
fabricio-tavares-rezende,MEA,2
leandro-marinho-correia,MEA,2
adriano-siqueira-cavalcanti,PTA,2
kleber-moraes-correia,PTA,2
eduardo-valadares-ramalho,ATA,2
rodrigo-pacheco-rabelo,ATA,2
douglas-cunha-leite,PTA,2
fabricio-medeiros-rezende,PTA,2
gustavo-cavalcanti-braga,VOL,2
thiago-lacerda-azevedo,VOL,2
caio-valadares-queiroz,VOL,2
ricardo-leite-guimaraes,VOL,2
lucas-guimaraes-medeiros,PTA,2
anderson-guimaraes-moraes,PTA,2
alisson-braga-vasconcelos,PTA,2
rafael-medeiros-queiroz,PTA,2
yuri-xavier-leite,MEC,2
ricardo-leite-rezende,MEC,2
patrick-freitas-aragao,MEC,2
fabricio-guimaraes-andrade,MEA,2
kleber-vasconcelos-cardoso,MEA,2
samuel-ramalho-correia,PTA,2
patrick-vasconcelos-azevedo,PTA,2
rafael-fonseca-farias,ATA,2
eduardo-ramalho-peixoto,ATA,2
renan-tavares-moraes,PTA,2
samuel-xavier-cardoso,PTA,2
